id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35303,"La Casa Gaienmae C Harajuku, Omotesando is nearby",151977,Miyuki,,Shibuya Ku,35.67152,139.71203,Private room,4159,28,18,2018-07-28,0.18,3,90
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.71721,139.82596,Entire home/apt,11015,3,163,2019-12-03,1.62,1,148
289597,Private apt in central Tokyo #203,341577,Hide&Kei,,Nerima Ku,35.74267,139.6581,Entire home/apt,4253,30,112,2019-12-01,1.22,2,238
370759,"Cozy flat #203, local area YET 10 mins to shibuya!",1573631,"Gilles,Mayumi,Taiki",,Setagaya Ku,35.66344,139.65593,Entire home/apt,6980,29,102,2019-11-20,1.45,3,0
700253,Private apt in central Tokyo #201,341577,Hide&Kei,,Nerima Ku,35.74264,139.65832,Entire home/apt,4035,30,103,2019-10-04,1.17,2,38
776070,Kero-kero house room 1,801494,Kotaro Kei And Litte Miya,,Arakawa Ku,35.73818,139.77009,Private room,7634,3,226,2019-12-07,2.62,1,234
872235,RELAX AT HOME:Shimo 5'/Shibuya 10',1573631,"Gilles,Mayumi,Taiki",,Setagaya Ku,35.66832,139.65159,Entire home/apt,9052,29,43,2019-08-07,0.53,3,211
899003,"Classy room @Shinjuku, Takadanoba",4799233,Yu,,Shinjuku Ku,35.70865,139.69681,Entire home/apt,5235,30,93,2019-11-25,1.11,2,176
905944,4F - Near Shinjuku & Shibuya w/Free WiFi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67968,139.67949,Private room,9815,3,179,2019-12-04,2.18,13,243
1007534,Kichijoji Parkside Attic Room,5068769,Caroline,,Mitaka Shi,35.69952,139.576,Private room,6652,2,91,2019-12-15,2.38,2,79
1016831,WOMAN ONLY LICENSED ! Cosy & Cat behnd Shibuya,5596383,Wakana,,Setagaya Ku,35.65833,139.67153,Private room,6980,1,208,2019-12-18,2.54,1,321
1033276,private room @Senju area,5686404,Yukiko,,Adachi Ku,35.74253,139.7973,Private room,3490,1,72,2018-06-17,0.89,2,87
1096292,Home stay with a Japanese language teacher family.,6018145,Mari,,Shinjuku Ku,35.69098,139.70618,Private room,10906,1,242,2019-11-25,3.16,2,296
1196177,Stay with host Cozy private room Senju area,5686404,Yukiko,,Adachi Ku,35.74409,139.79895,Private room,3490,2,89,2019-12-25,1.14,2,127
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65162,139.72065,Entire home/apt,31954,4,96,2019-12-14,1.25,1,238
1256034,ENTIRE APARTMENT 450ft² 2LDK NEAR SHIBUYA/YOYOGI,6834839,Tokyo'S Best Stay,,Shibuya Ku,35.68092,139.69273,Private room,12587,1,133,2019-10-10,1.69,2,0
1263000,SHIBUYA 7 MINS  AMAZING HOST(for woman only),6876728,Haruko,,Setagaya Ku,35.60682,139.67629,Private room,7961,3,184,2019-12-15,2.33,1,119
1289173,"Fashionable Harajuku/Omotesando, next to Shibuya",151977,Miyuki,,Shibuya Ku,35.67058,139.71288,Entire home/apt,7771,28,49,2018-03-27,0.63,3,83
1298200,2 Bed Room + 2 Toilets + Free Pocket Wi-Fi,6606987,K & N,,Katsushika Ku,35.7385,139.85167,Entire home/apt,12978,4,331,2019-12-06,4.18,3,79
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.70099,139.74012,Entire home/apt,28028,3,158,2019-12-23,2.09,2,143
1394124,Renewal! Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62198,139.69987,Entire home/apt,29991,2,212,2019-12-16,2.72,1,90
1394409,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,,Toshima Ku,35.72597,139.7016,Private room,3163,3,225,2019-12-01,2.93,2,83
1394737,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,,Toshima Ku,35.72607,139.70363,Private room,2181,3,219,2019-11-22,2.82,2,322
1441639,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,,Katsushika Ku,35.73626,139.85024,Entire home/apt,13523,4,295,2019-12-17,3.79,8,37
1526132,Shinjuku Sharehouse Private Tatami room  8F,8142772,Min & Haru,,Shinjuku Ku,35.69908,139.70335,Private room,5998,2,152,2019-12-10,1.97,13,134
1544970,Shinjuku Sharehouse Private Tatami room & Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69872,139.70362,Private room,5998,2,128,2019-12-17,1.67,13,136
1571298,Shinjuku ShareHouse Dormitory5  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69916,139.70374,Shared room,3926,2,164,2019-11-09,2.14,13,166
1574946,Shinjuku ShareHouse Dormitory6  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.6992,139.70392,Shared room,3926,2,139,2019-12-30,1.82,13,164
1600454,"cute room, safty residential area in west-Tokyo",8529477,Mari ,,Setagaya Ku,35.65918,139.61021,Private room,3272,2,41,2019-04-24,0.55,2,16
1600758,Enjoy a unique house in a green residential area!,8529477,Mari ,,Setagaya Ku,35.6591,139.61036,Private room,3272,2,13,2019-12-15,0.73,2,6
1642592,3F Apartment in Yoyogi/Shibuya Max 6Px w/Free WiFi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.6825,139.69203,Entire home/apt,13087,3,80,2019-12-23,1.14,13,266
1732795,"Mr.T's House, 2-Bed-rooms JP-style+Portable Wi-Fi",6606987,K & N,,Katsushika Ku,35.73963,139.85372,Entire home/apt,12978,3,294,2019-12-13,3.90,3,44
1754294,Home stay with a Japanese language teacher family,6018145,Mari,,Shinjuku Ku,35.69279,139.70929,Private room,8288,1,234,2019-12-16,3.09,2,317
1788937,"3BD 55sqm  2MIN WALK Mitaka sta , 17MIN Shinjuku",9365325,Takayuki,,Mitaka Shi,35.70171,139.55988,Entire home/apt,13959,2,26,2019-12-24,4.11,1,69
1868030,30sec Sta.nearSUMO AKB Shinjuku AB,8660693,Soichi,,Koto Ku,35.69031,139.81424,Private room,3272,30,113,2018-11-21,1.73,9,242
1919541,share house 'Miraie' @JR Osaki,9951050,Takashi&Li,,Shinagawa Ku,35.61626,139.72338,Private room,7961,2,226,2019-12-29,3.03,1,118
1997959,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,,Setagaya Ku,35.63797,139.64716,Entire home/apt,15050,2,103,2019-07-25,1.46,1,178
2027932,"Roppongi Villa,7min/ROPPONGIstatn.",10415965,Azabu,,Minato Ku,35.65628,139.72586,Entire home/apt,63471,4,167,2019-12-29,2.28,3,187
2075509,Stunning home in central Tokyo,11046932,The Dawson Family,,Minato Ku,35.65008,139.73337,Entire home/apt,80048,3,232,2019-12-22,3.21,1,255
2129583,*B*Tranquil Retreat with LOFT& WIFI near Shinjuku!,9203725,Memz And Taki,,Suginami Ku,35.67347,139.65953,Entire home/apt,11015,1,8,2019-10-23,0.13,5,310
2219300,*C*Tranquil Studio with Loft&WIFI near Shinjuku !,9203725,Memz And Taki,,Suginami Ku,35.67354,139.65915,Entire home/apt,16468,1,15,2019-09-03,0.26,5,311
2238472,Spacious! Shibuya House w/Garden,11430874,Kako & Keiko,,Shibuya Ku,35.67069,139.68388,Private room,27046,1,152,2019-12-05,2.16,1,253
2262879,30sec Sta. AKB Shinjuku Shibuya 206,8660693,Soichi,,Koto Ku,35.689,139.81543,Private room,3490,30,41,2019-12-06,0.80,9,149
2289698,BEST for 2ppl@Shinjuku Takadanobaba,4799233,Yu,,Shinjuku Ku,35.70803,139.69822,Entire home/apt,4035,30,72,2019-12-01,1.00,2,117
2491507,Shinjuku Sharehouse Private Tatami Room III 8F,8142772,Min & Haru,,Shinjuku Ku,35.69781,139.70502,Private room,5998,2,82,2019-11-28,1.17,13,134
